# Energy from Jumos simulation
# step	Ekin(kJ/mol)	Epot(kJ/mol)	Etot(kJ/mol)	T(K)
1649	409.6710141020138	-442.8112368402444	-33.14022273823059	262.78453578641034
1659	388.93447796873863	-422.0907027082844	-33.15622473954579	249.4830308372613
1669	396.5430159891891	-429.7237069385441	-33.18069094935504	254.3635473075319
1679	394.60681839957584	-427.778335184646	-33.17151678507014	253.1215683359599
1689	374.98883208689995	-408.0854070817567	-33.09657499485678	240.53756007376697
1699	369.07865247611716	-402.2973785832001	-33.218726107082944	236.74646001549652
1709	356.731130747435	-389.8462937878989	-33.115163040463926	228.8261101398854
1719	404.9198257451177	-438.12447579889476	-33.20465005377707	259.73687367749227
1729	398.66045896557796	-431.8277006409991	-33.16724167542117	255.72178660309012
1739	380.8221329854204	-413.9715426838364	-33.14940969841598	244.27934608242617
1749	393.7313209048629	-426.9181114569764	-33.18679055211351	252.55997819457627
1759	372.0078006741243	-405.18713734304777	-33.17933666892344	238.62536973321266
1769	349.1293842376731	-382.2605467903237	-33.13116255265061	223.94995010178147
1779	376.650326103566	-409.82876236644023	-33.17843626287424	241.6033297251506
1789	378.35855329368997	-411.50767231431894	-33.14911902062897	242.69907649200064
1799	360.3626038774467	-393.4619489553859	-33.09934507793918	231.15552800895952
1809	364.5457921236716	-397.7141670623067	-33.168374938635054	233.83884497196453
1819	357.39706109346895	-390.5334617157159	-33.136400622246924	229.2532728895669
1829	352.11880451176984	-385.2619158563992	-33.14311134462935	225.86752149921352
1839	367.6699738571103	-400.83350211244453	-33.163528255334256	235.84285945742582
1849	378.45056003024376	-411.6343783912399	-33.183818360996156	242.7580944520765
1859	362.8005282030646	-395.9299740042241	-33.129445801159534	232.71934089817304
1869	361.15537801679767	-394.32792327074884	-33.17254525395117	231.66405503923883
1879	378.38976887377333	-411.6030340214328	-33.213265147659456	242.71909980690242
1889	371.30481270305637	-404.44003325767704	-33.13522055462067	238.17443627372577
1899	370.99229330253854	-404.1446192208968	-33.15232591835826	237.97396989274608
1909	367.4193809363791	-400.5650106454112	-33.14562970903205	235.6821159777094
1919	344.22989286208946	-377.3041266329452	-33.074233770855756	220.8071586364286
1929	374.4738147228315	-407.66925852246055	-33.19544379962906	240.20720084824228
1939	357.4110926350942	-390.5414026117571	-33.13030997666294	229.26227345837805
1949	361.6226800498283	-394.75876037203494	-33.136080322206624	231.9638071417672
1959	376.13081869988247	-409.29089495477166	-33.16007625488919	241.27009035205555
1969	368.87742752790456	-402.0350509950737	-33.15762346716912	236.6173837499457
1979	362.0210737119645	-395.2086181179735	-33.18754440600901	232.21935779085132
1989	353.4252977033938	-386.5422167237295	-33.11691902033567	226.70557494954508
1999	377.05214405358004	-410.23368627022074	-33.18154221664071	241.86107689258577
2009	367.3516293268139	-400.47028639029656	-33.11865706348266	235.63865653182356
2019	381.7231907918235	-414.90050121266364	-33.177310420840115	244.85733195211574
2029	380.0260614698927	-413.15755844221536	-33.13149697232268	243.76870394163598
2039	401.56480250136065	-434.74538582317564	-33.18058332181499	257.58478530581226
2049	408.2494988671712	-441.4296241954891	-33.1801253283179	261.872701147779
2059	391.78033059872934	-424.9244640672033	-33.14413346847397	251.30851039658015
2069	383.2954041433193	-416.4136161070354	-33.118211963716135	245.86583228899127
2079	395.1144157367642	-428.2861592822328	-33.17174354546859	253.4471679659748
2089	380.1372496279768	-413.2914493580862	-33.15419973010938	243.84002587436078
2099	378.27989448431265	-411.40686403971904	-33.12696955540639	242.6486205944726
2109	402.6106844929735	-435.8134349344088	-33.202750441435285	258.25566902516886
2119	376.12497019811934	-409.25083820747034	-33.125868009350995	241.26633881541284
2129	393.8809244345057	-427.0670055929685	-33.1860811584628	252.65594176714038
2139	393.86592481144123	-427.0532378393753	-33.18731302793407	252.64632021997625
2149	384.1803833037863	-417.29013250609415	-33.10974920230785	246.43350446949378
2159	399.2171354985598	-432.38763211653486	-33.17049661797506	256.07886821069053
2169	379.8265826071735	-412.9205680835969	-33.09398547642337	243.64074770715902
2179	395.7576829035941	-428.9419051050106	-33.1842222014165	253.8597933605065
2189	380.9334481701543	-414.0471116760363	-33.113663505882016	244.3507494967253
2199	386.52223590441594	-419.682130918932	-33.15989501451605	247.9356919012446
2209	389.91462475550213	-423.08903733278623	-33.1744125772841	250.111748538773
2219	362.55268056674623	-395.6499971327575	-33.09731656601127	232.56035838827188
2229	377.95039276628	-411.11800286384624	-33.16761009756624	242.4372608618251
2239	396.95555960165024	-430.151868550248	-33.19630894859779	254.62817447899502
2249	360.9711646985881	-394.08103156904394	-33.109866870455846	231.54589092792753
2259	362.00733662305475	-395.2325452640039	-33.22520864094912	232.21054609949914
2269	332.3583865201366	-365.4626785282964	-33.1042920081598	213.1921500667018
2279	358.123563249849	-391.31383219736375	-33.19026894751477	229.7192895842814
2289	378.49926599258475	-411.6625826585545	-33.163316665969774	242.78933701809464
2299	372.141821148376	-405.2841261389908	-33.14230499061483	238.71133751443173
2309	379.5229160302139	-412.7307805787593	-33.207864548545444	243.4459599928388
2319	370.5675056325392	-403.6774376696866	-33.10993203714736	237.70148873878097
2329	381.1748795906183	-414.38325402604147	-33.208374435423195	244.5056163083057
2339	350.9869698658244	-384.07997375738535	-33.093003891560954	225.14150322654245
2349	383.92734933189183	-417.1282280988337	-33.200878766941855	246.27119517117
2359	379.6328829601673	-412.77033761066093	-33.13745465049362	243.51649856560798
2369	364.7650279834936	-397.8968338993649	-33.13180591587127	233.97947438353594
2379	370.8177685505121	-403.958170648791	-33.14040209827891	237.86202053737114
2389	387.7045818536267	-420.88357420144723	-33.178992347820554	248.69411078055765
2399	369.6331747023724	-402.7996816846245	-33.16650698225209	237.102159737453
2409	363.7996161307674	-396.9520705526926	-33.1524544219252	233.3602084437246
2419	372.2266624834026	-405.43607723971667	-33.20941475631406	238.76575920909158
2429	345.8904664898947	-378.9590575806844	-33.06859109078965	221.87233790198752
2439	390.87320599953256	-424.0842749552818	-33.21106895574923	250.72663296689942
2449	397.60715169122466	-430.7446039741881	-33.137452282963466	255.04613991683846
2459	411.3194184078841	-444.53838138998486	-33.21896298210078	263.84190900881407
2469	359.21156477531406	-392.313863615285	-33.102298839970956	230.41719098799905
2479	374.16415486716704	-407.35734705110247	-33.19319218393542	240.00856872973404
2489	396.5150732314938	-429.663861169209	-33.14878793771521	254.3456233530494
2499	401.75055306891824	-434.9274614815719	-33.17690841265369	257.70393548970964
2509	415.568763922304	-448.72736888216934	-33.15860495986533	266.5676627232929
2519	419.61376358459125	-452.7580767823799	-33.14431319778862	269.16233826029753
2529	387.7634161353584	-420.95359132370044	-33.19017518834204	248.73185018334914
2539	357.7266671488583	-390.8397893088351	-33.1131221599768	229.4646995496828
2549	362.8245426329565	-396.0129561953064	-33.18841356234992	232.73474501658535
2559	352.1654715337924	-385.2808137003949	-33.11534216660249	225.89745618166992
2569	380.36080782169586	-413.5693169863762	-33.20850916468032	243.9834278582343
2579	360.1019622862973	-393.1811478206451	-33.0791855343478	230.98833878351007
2589	382.728468573835	-415.92386109727073	-33.195392523435714	245.50216999578683
2599	372.1085495936242	-405.2529322790622	-33.14438268543796	238.6899953892401
2609	357.35569130812365	-390.49945669390024	-33.14376538577659	229.22673613333245
2619	344.08411315691484	-377.19181840381367	-33.10770524689883	220.71364786599895
2629	363.1665763869711	-396.2871888247878	-33.1206124378167	232.95414345625537
2639	384.15127228007236	-417.32204420882147	-33.170771928749105	246.41483112774006
2649	380.2105888391888	-413.3521822668509	-33.14159342766209	243.8870695018323
2659	362.254685057123	-395.38263085266897	-33.12794579554594	232.36920839482065
2669	361.94128954023324	-395.09354206725504	-33.1522525270218	232.1681800267191
2679	373.55071690148816	-406.6969495210494	-33.14623261956126	239.61507735373806
2689	373.3158065480955	-406.4467578658953	-33.13095131779977	239.46439349756378
2699	367.6052892401177	-400.7143828119103	-33.109093571792584	235.8013673418897
2709	392.4172498939575	-425.6063490759619	-33.189099182004384	251.7170639323894
2719	379.1246642317062	-412.24138991833604	-33.11672568662982	243.19050034254758
2729	375.4606995862983	-408.5940341642621	-33.13333457796381	240.840240706552
2739	379.5608490615181	-412.74107947373676	-33.180230412218634	243.4702922342694
2749	370.62864051963953	-403.72373913729996	-33.095098617660426	237.74070387086013
2759	402.4907557974048	-435.62806743409976	-33.13731163669496	258.17874045197806
2769	416.15306404249884	-449.33524845439376	-33.18218441189492	266.94246355264113
2779	370.6285430996541	-403.7423980191942	-33.113854919540074	237.74064138055752
2789	343.58493588546327	-376.72236708613474	-33.13743120067147	220.39344930901518
2799	345.8129103005646	-378.94606910744983	-33.133158806885206	221.82258928295198
2809	372.4997683911973	-405.64068037754106	-33.14091198634378	238.94094370281925
2819	385.6547282941275	-418.8301752130846	-33.17544691895711	247.3792268919724
2829	362.86428569518944	-395.9899941920154	-33.12570849682595	232.7602383070553
2839	367.44458574587816	-400.59125641762597	-33.14667067174781	235.6982836682118
2849	365.5006940707728	-398.69022759869114	-33.18953352791834	234.45136930552164
2859	363.5542619046342	-396.68500967259143	-33.130747767957246	233.2028253382614
2869	393.1004156370554	-426.3254522076531	-33.225036570597695	252.1552823722726
2879	358.1594600256574	-391.2654658099501	-33.10600578429273	229.74231566433667
2889	353.4577165520571	-386.56669523203584	-33.10897867997875	226.726370104202
2899	380.3167757606479	-413.4823996060794	-33.165623845431526	243.9551833783373
2909	379.25378119540693	-412.4047175091725	-33.150936313765555	243.27332275419076
2919	368.4535483735836	-401.60205200632555	-33.14850363274195	236.34548536572166
2929	372.5669898496068	-405.70614922984555	-33.139159380238766	238.98406308186966
2939	384.48639862783637	-417.63293380812667	-33.1465351802903	246.62979879373418
2949	383.2457004342414	-416.3676812955706	-33.12198086132918	245.83394971573787
2959	395.1259109051015	-428.2722045289028	-33.14629362380134	253.4545415715542
2969	389.9757838381034	-423.11941384361586	-33.14363000551248	250.1509791911191
2979	367.4784049564069	-400.6074581603113	-33.12905320390439	235.71997708862364
2989	348.02406057223385	-381.1954015094496	-33.171340937215746	223.24093736639705
2999	324.57050270362	-357.6658599171095	-33.095357213489535	208.19659176983825
3009	366.3075962800474	-399.52897964665925	-33.22138336661186	234.9689588229398
3019	341.27518089801987	-374.34265951259067	-33.0674786145708	218.9118509745904
3029	364.1722517630184	-397.3718932731261	-33.19964151010771	233.5992365376531
3039	353.8531952409058	-387.01199712680614	-33.158801885900345	226.98005093610152
3049	360.5342014196148	-393.6604470173985	-33.12624559778368	231.26559969796975
3059	391.54413138935985	-424.706313998236	-33.16218260887615	251.15699980039278
3069	375.4813814206693	-408.6072925912671	-33.12591117059776	240.85350712291373
3079	374.6186533020024	-407.76825657349656	-33.149603271494186	240.30010793095303
3089	373.37367891906547	-406.5135121098425	-33.13983319077704	239.50151588019943
3099	376.1684355801176	-409.36227603928626	-33.193840459168655	241.2942197975619
3109	374.904234601309	-408.0434710232612	-33.139236421952205	240.4832947969608
3119	392.00651781700833	-425.19278067174787	-33.18626285473954	251.4535987750844
3129	381.9390549149228	-415.0928117440903	-33.15375682916749	244.99579855441104
3139	394.3897249663353	-427.5696631501492	-33.17993818381393	252.98231318948228
3149	405.22044232650416	-438.3620828328767	-33.14164050637254	259.92970496423226
3159	407.6772889626891	-440.85325178216226	-33.17596281947317	261.5056556186944
3169	382.40956218976186	-415.59672412807174	-33.187161938309885	245.29760666762053
3179	344.92587664094424	-378.03859948127354	-33.1127228403293	221.2535992386326
3189	360.4290806149156	-393.5874104723369	-33.15832985742128	231.19816968482877
3199	383.41752320044156	-416.60426160959463	-33.186738409153065	245.94416587528832
3209	370.01373394485637	-403.15522646710133	-33.14149252224496	237.34627045174062
3219	363.7540984269981	-396.94418882641895	-33.19009039942085	233.3310109944462
3229	376.6260135085213	-409.7975496505874	-33.171536142066145	241.58773434792676
3239	387.413394735005	-420.5862254610751	-33.17283072607012	248.50732804719365
3249	378.5382398880517	-411.63983764302805	-33.10159775497635	242.81433692454524
3259	407.58829974609284	-440.7697256893452	-33.18142594325235	261.4485732546309
3269	388.2380769406452	-421.3716861927721	-33.13360925212686	249.03632258944975
3279	397.1643829276728	-430.2901471137365	-33.12576418606369	254.7621247437227
3289	420.9410003385419	-454.12305981968757	-33.18205948114564	270.0136977225482
3299	397.1506183268962	-430.27941985864277	-33.12880153174655	254.75329540481204
3309	384.50460858095084	-417.60958085393014	-33.104972272979296	246.64147961544518
3319	417.5785245721235	-450.7595101678603	-33.180985595736786	267.85682891085514
3329	422.36908444889394	-455.48887827557166	-33.11979382667772	270.9297459834324
3339	408.07759589842817	-441.25803081148314	-33.18043491305497	261.7624335420993
3349	378.5000095757878	-411.61676146922645	-33.116751893438675	242.7898139914711
3359	398.9716541819188	-432.175269245503	-33.20361506358421	255.92140358269103
3369	363.64185542397445	-396.8163039636489	-33.17444853967447	233.25901242869585
3379	360.3559603761548	-393.51017505457247	-33.154214678417645	231.15126651780471
3389	417.8220780502554	-451.0177651116063	-33.195687061350895	268.0130569218369
3399	404.945955936021	-438.0720335589388	-33.12607762291782	259.7536349562993
3409	382.2349477362181	-415.3860366356822	-33.15108889946413	245.18559977297434
3419	377.5281341416477	-410.7025532825155	-33.174419140867826	242.16640197057785
3429	384.7527541389406	-417.90546261595654	-33.15270847701595	246.80065322797603
3439	385.06431047195645	-418.2184023036995	-33.154091831743074	247.0005018468058
3449	374.4100860246427	-407.54239131100644	-33.13230528636376	240.16632190930505
3459	379.0074668471236	-412.25322087802454	-33.24575403090091	243.1153237758812
3469	357.99096287093954	-391.1363356163553	-33.145372745415784	229.63423272690716
3479	372.12695007537656	-405.3007156381325	-33.17376556275593	238.70179842604057
3489	381.9338800916254	-415.13062476883096	-33.19674467720557	244.99247915056952
3499	373.43808359147494	-406.62375735829187	-33.18567376681693	239.54282842455572
3509	375.61200439010327	-408.7598285747286	-33.147824184625335	240.93729556584518
3519	397.3697703545625	-430.5441641600132	-33.174393805450734	254.8938710420296
3529	392.93228893578436	-426.0588808099976	-33.12659187421326	252.04743706316853
3539	384.9132481646981	-418.0555482148022	-33.1423000501041	246.90360253755216
3549	385.488573922167	-418.64812421457736	-33.15955029241036	247.27264673862615
3559	378.0761469030894	-411.2222731653149	-33.14612626222549	242.51792617942664
3569	369.3044888034546	-402.45693520430086	-33.15244640084626	236.89132331409516
3579	372.63398320194335	-405.78777796030903	-33.15379475836568	239.02703614168726
3589	389.9875372607455	-423.1881736332903	-33.20063637254481	250.1585184545929
3599	383.901184824212	-417.02090126489185	-33.11971644067984	246.25441187977756
3609	386.42156937035185	-419.62540320144467	-33.20383383109282	247.87111909156894
3619	371.9302493234097	-405.094751959673	-33.16450263626325	238.57562421791957
3629	380.31840577405717	-413.4732822701141	-33.15487649605694	243.9562289546713
3639	386.77370393398303	-419.89482096349747	-33.12111702951444	248.0969967217962
3649	413.99161073870863	-447.2461707356574	-33.254559996948785	265.5559937182899
3659	389.07501749188276	-422.1669607462603	-33.091943254377554	249.57318027932038
3669	395.4501676548585	-428.6114389629086	-33.16127130805012	253.66253690568172
3679	399.6131226702229	-432.76101017697266	-33.14788750674978	256.3328752102117
3689	414.69368605249696	-447.88044803326414	-33.18676198076719	266.0063417513949
3699	365.0250054508158	-398.1316087436394	-33.10660329282359	234.146237605032
3709	365.9476097507299	-399.1587344405668	-33.21112468983688	234.73804452893387
3719	354.62971181571976	-387.693600970004	-33.063889154284254	227.47814950939264
3729	389.76918931066797	-422.9803758630947	-33.21118655242674	250.01845859503266
3739	380.2386282553167	-413.37925721789907	-33.140628962582355	243.9050554581174
3749	371.9663465297478	-405.08417580775586	-33.11782927800806	238.59877886465858
3759	379.72051887497764	-412.8837903511403	-33.16327147616266	243.57271285072684
3769	370.19423270291486	-403.32019788211323	-33.125965179198374	237.46205184879747
3779	376.6785130874396	-409.8253637775778	-33.146850690138194	241.62141033914935
3789	368.41082491399874	-401.54805477350703	-33.137229859508295	236.31808029163116
